X,Y,X,Y,id,name,area,nbikes,nempty
-0.109970527,51.52916347,-0.109970527,51.52916347,"1",River Street,Clerkenwell,"4","14"
-0.197574246,51.49960695,-0.197574246,51.49960695,"2",Phillimore Gardens,Kensington,"2","34"
-0.084605692,51.52128377,-0.084605692,51.52128377,"3",Christopher Street,Liverpool Street,"0","32"
-0.120973687,51.53005939,-0.120973687,51.53005939,"4",St. Chad's Street,King's Cross,"4","19"
-0.156876,51.49313,-0.156876,51.49313,"5",Sedding Street,Sloane Square,"15","12"
-0.144228881,51.51811784,-0.144228881,51.51811784,"6",Broadcasting House,Marylebone,"0","18"
-0.1680743,51.53430039,-0.1680743,51.53430039,"7",Charlbert Street,St. John's Wood,"15","0"
-0.170134484,51.52834133,-0.170134484,51.52834133,"8",Lodge Road,St. John's Wood,"5","13"
-0.096440751,51.5073853,-0.096440751,51.5073853,"9",New Globe Walk,Bankside,"3","16"
-0.092754157,51.50597426,-0.092754157,51.50597426,"10",Park Street,Bankside,"1","17"
-0.122502346,51.52395143,-0.122502346,51.52395143,"11",Brunswick Square,Bloomsbury,"0","23"
-0.130431727,51.52168078,-0.130431727,51.52168078,"12",Malet Street,Bloomsbury,"0","47"
-0.136039674,51.51991453,-0.136039674,51.51991453,"13",Scala Street,Fitzrovia,"0","20"
-0.123616824,51.52994371,-0.123616824,51.52994371,"14",Belgrove Street,King's Cross,"12","5"
-0.127854211,51.51772703,-0.127854211,51.51772703,"15",Great Russell Street,Bloomsbury,"0","26"
-0.125979294,51.52635795,-0.125979294,51.52635795,"16",Cartwright Gardens,Bloomsbury,"8","13"
-0.109006325,51.5216612,-0.109006325,51.5216612,"17",Hatton Wall,Holborn,"4","22"
-0.12221963,51.51477076,-0.12221963,51.51477076,"18",Drury Lane,Covent Garden,"1","26"
-0.131161087,51.52505093,-0.131161087,51.52505093,"19",Taviton Street,Bloomsbury,"6","23"
-0.135273468,51.52773634,-0.135273468,51.52773634,"20",Drummond Street,Euston,"19","9"
-0.13884627,51.53007835,-0.13884627,51.53007835,"21",Hampstead Road (Cartmel),Euston,"8","8"
-0.114079481,51.5222641,-0.114079481,51.5222641,"22",Northington Street,Holborn,"2","16"
-0.119123345,51.51943538,-0.119123345,51.51943538,"23",Red Lion Square,Holborn,"2","14"
-0.124678402,51.51908011,-0.124678402,51.51908011,"24",British Museum,Bloomsbury,"0","35"
-0.132250369,51.5288338,-0.132250369,51.5288338,"25",Doric Way,Somers Town,"17","14"
-0.11829517,51.52728093,-0.11829517,51.52728093,"26",Ampton Street,Clerkenwell,"10","11"
-0.107927706,51.51382102,-0.107927706,51.51382102,"27",Bouverie Street,Temple,"0","33"
-0.143613641,51.52351808,-0.143613641,51.52351808,"28",Bolsover Street,Fitzrovia,"0","18"
-0.193487,51.513735,-0.193487,51.513735,"29",Hereford Road,Bayswater,"10","11"
-0.093421615,51.52915444,-0.093421615,51.52915444,"30",Windsor Terrace,Hoxton,"17","7"
-0.083353323,51.52953709,-0.083353323,51.52953709,"31",Fanshaw Street,Hoxton,"21","13"
-0.084439283,51.52469624,-0.084439283,51.52469624,"32",Leonard Circus,Shoreditch,"7","36"
-0.129386874,51.5341235,-0.129386874,51.5341235,"34",Pancras Road,King's Cross,"12","4"
-0.184980612,51.50173726,-0.184980612,51.50173726,"36",De Vere Gardens,Kensington,"4","24"
-0.192369256,51.49159394,-0.192369256,51.49159394,"37",Penywern Road,Earl's Court,"15","2"
-0.197245586,51.4973875,-0.197245586,51.4973875,"38",Abingdon Villas,Kensington,"4","13"
-0.078130921,51.5263778,-0.078130921,51.5263778,"39",Shoreditch High Street,Shoreditch,"23","17"
-0.0755789,51.52127071,-0.0755789,51.52127071,"40",Commercial Street,Shoreditch,"13","3"
-0.083911168,51.52001715,-0.083911168,51.52001715,"41",Sun Street,Liverpool Street,"0","24"
-0.093903825,51.53099181,-0.093903825,51.53099181,"42",Wenlock Road,Hoxton,"27","1"
-0.157183945,51.52026,-0.157183945,51.52026,"43",Crawford Street,Marylebone,"17","1"
-0.144165239,51.51073687,-0.144165239,51.51073687,"44",Bruton Street,Mayfair,"0","21"
-0.162298,51.522511,-0.162298,51.522511,"45",Boston Place,Marylebone,"23","2"
-0.06691,51.507131,-0.06691,51.507131,"46",Nesham Street,Wapping,"15","0"
-0.183846408,51.52334476,-0.183846408,51.52334476,"47",Warwick Avenue Station,Maida Vale,"19","0"
-0.099141408,51.51248445,-0.099141408,51.51248445,"48",Godliman Street,St. Paul's,"0","25"
-0.145904427,51.50706909,-0.145904427,51.50706909,"49",Curzon Street,Mayfair,"0","16"
-0.087459376,51.52867339,-0.087459376,51.52867339,"50",East Road,Hoxton,"5","22"
-0.104298194,51.52671796,-0.104298194,51.52671796,"51",Finsbury Library,Finsbury,"8","21"
-0.094934859,51.52295439,-0.094934859,51.52295439,"52",Roscoe Street,St. Luke's,"1","17"
